A. Lange & Söhne,
IG Farben,
Infineon Technologies,
Intershop,
J. A. Henckels,
J. Schmalz,
Jack Wolfskin,
Jenoptik,
Jil Sander,
Junghans,
Junkers,
K+S,
Kärcher,
Kaufland,
Keimfarben,
KfW,
Klöckner & Co SE,
Knorr,
Knorr-Bremse,
Koenig & Bauer,
Körber,
Krauss-Maffei,
Krones,
KSB Company,
KUKA,
Lamy,
Lanxess,
Leica Camera,
Leidolf,
Leoni AG,
Lidl,
Lindauer Dornier,
Linguatec,
Linhof,
Loewe,
Löwenbräu,
LSG Sky Chefs,
LTU International,
Lufthansa,
Lürssen,
Magirus,
Magix,
Mahle GmbH,
MAN,
Mann+Hummel,
Mannesmann,
Mast-Jägermeister,
Meindl,
Meinl Percussion,
Meinl-Weston,
Meissen porcelain,
Melitta,
Mennekes,
Mercedes-AMG,
Mercedes-Benz,
Merck,
Messerschmitt,
Metro AG,
Metz,
Meyer Werft,
Miele,
Montblanc,
Munich Re,
Nemetschek,
Nero AG,
Netto Marken-Discount,
Nordzucker,
NSU Motorenwerke,
Opel,
Orenstein & Koppel,
Osram,
Otto GmbH,
Otto Bock,
Paulaner Brewery,
PCC SE,
Penny,
Philipp Holzmann,
Phoenix Contact,
Plus,
Porsche,
ProSiebenSat.1,
PTV AG,
PUMA,
Putzmeister,
Radeberger Brewery,
Recaro,
Reemtsma,
REWE Group,
Rheinmetall,
Rheinmetall Automotive,
Ritter Sport,
Robert Bosch GmbH,
Rohde & Schwarz,
ROSE Bikes,
RRI Rhein Ruhr International,
RUF Automobile,
RWE,
SABA,
Salzgitter AG,
SAP SE,
Sauer Flugmotorenbau,
Schaeffler Group,
Schaffhausen Communication Group,
Schaller Guitarenparts,
Schering,
Schmitz Cargobull,
Schott AG,
Schwan-Stabilo,
Schwarz Gruppe,
Schwind eye-tech-solutions,
Sebamed,
Seca,
Sennheiser,
Severin Elektro,
SEW Eurodrive,
SGL Carbon,
Siemens,
SIG Sauer,
SimScale,
SkySails,
Smart,
Software AG,
SolarWorld,
Sonor,
Sortimo,
Staedtler,
Steinway & Sons,
Stihl,
Südzucker,
Symrise,
Talanx,
Tchibo,
Telefunken,
Tengelmann Group,
Tente International,
Tetra,
The Linde Group,
ThyssenKrupp,
trivago,
Trumpf,
T-Systems,
TUI Group,
Ulla Popken,
Ultrasone,
Underberg,
United Internet,
Vaude,
Vector Informatik,
Vereinigte Flugtechnische Werke,
Viessmann,
Villeroy & Boch,
Voith,
Volkswagen Group,
Volkswagen,
Vonovia,
Vossloh,
Wacker Chemie,
Wacker Neuson,
WAGO Kontakttechnik,
Warsteiner,
Wella,
Wera Werk Hermann Werner,
Weser Flugzeugbau,
Wilkhahn,
Wintershall,
Wirecard,
Wittenstein,
Wolff & Müller,
Wortmann,
Würth,
Wüsthof,
ZF Friedrichshafen,
Ziehl-Abegg SE
